Place of interest,Type of place,Place address,BiciMAD station,Station location,Available bikes,Available docks,distance
Albercas-acequias del Jardín Islámico,Monument,JARDIN TRES CULTURAS ,"Bahía de Cádiz, 2","Bahía de Cádiz, 2,",3,20,905.1
Alberto Aguilera,Monument,CALLE MAGDALENA 6,Conde de Romanones,"Plaza del Conde de Romanones nº 9,",2,15,230.38
Alejandro Busuioceanu,Monument,C General Pardiñas 32,Hermosilla,"Calle Hermosilla nº 70,",10,13,56.25
Alejandro Muñoz Revenga,Monument,CALLE MELENDEZ VALDES 1,Fernando el Católico,"Calle Fernando el Católico nº 19,",5,22,135.73
Alexandr Pushkin,Monument,PARQUE QUINTA FUENTE DEL BERRO ,Quinta Fuente del Berro,"Calle Sancho Dávila esquina Paseo Marqués de Zafra,",6,18,66.96
Alfonso R. Castelao,Monument, ,Avenida Brasilia,"Avenida de Brasilia frente al nº 9,",6,17,130.82
Alfonso VI,Monument, ,San Quintín,"Calle Pavía nº 6,",11,16,213.22
Alfonso VIII,Monument, ,San Quintín,"Calle Pavía nº 6,",11,16,216.77
Alfonso X El Sabio,Monument,JARDINES SABATINI ,Plaza de España A,"Calle Princesa nº 5,",1,17,237.64
Alfonso X El Sabio,Monument,PASEO RECOLETOS 20,Biblioteca Nacional,"Paseo de Recoletos nº 20,",8,14,24.52
Alfonso XII,Monument,PASEO CHILE ,"Menéndez Pelayo, entrada Florida Park","Menéndez Pelayo, entrada Florida Park,",6,17,326.82
Alfonso XIII,Monument,Avda Complutense ,Facultad Biología,"Calle José Antonio Novais frente al nº 12,",5,18,79.59
Alférez Provisional,Monument,CALLE FELIPE IV 1,"Calle Felipe IV, 3","Calle Felipe IV, 3,",8,15,48.6
Almirante Miguel Grau,Monument, ,"Calle Arzobispo Morcillo, 6","Calle Arzobispo Morcillo, 6,",3,24,225.76
Almudena,Monument,C Castelló 77,Marqués de Salamanca,"Calle José Ortega y Gasset nº 30,",4,18,92.42
Alonso I,Monument,PLAZA ORIENTE 1,Palacio de Oriente,"Calle Carlos III nº 1,",3,13,84.12
Alonso I El Batallador,Monument,Pº República Argentina ,Antonio Maura,"Calle Antonio Maura nº 15,",6,18,306.38
Alonso II,Monument,Pza Oriente ,Plaza Ramales,"Plaza de Ramales,",3,20,103.43
Alonso III,Monument,Pza Oriente ,San Quintín,"Calle Pavía nº 6,",11,16,59.64
Alonso V,Monument,Pza Oriente ,San Quintín,"Calle Pavía nº 6,",11,16,88.46
Altar Parque de Roma,Monument,C Juan Esplandiú ,Parque Roma,"Calle Alcalde Sáinz de Baranda frente al nº 107,",4,19,415.23
Amado Nervo,Monument,C Bailén 15,San Quintín,"Calle Pavía nº 6,",11,16,128.6
Amigos,Monument,Pza Alfredo Mahou de la Fuente ,Velázquez-Diego de León,"Calle Velázquez nº 91,",2,21,195.87
Amós Acero,Monument, ,"Calle de Carlos Martin Alvarez, 38","Calle de Carlos Martin Alvarez, 38,",2,21,220.66
América,Monument,CALLE GUZMAN EL BUENO 133,San Francisco de Sales,"Calle General Ampudia nº 2,",2,22,204.74
Ana Tutor,Monument,Avda Ventisquero de la Condesa ,"Ubeda,  27","Calle de Úbeda,  27,",6,18,317.15
Ancla,Monument,C Arturo Soria 271,Calle Serrano Galvache,"Calle Serrano Galvache,",9,14,246.03
Anclas,Monument,C Manuel Alonso ,"Calle de Gloria Fuertes, 181","Calle de Gloria Fuertes, 181,",21,6,5148.75
Andrés Bello,Monument,PARQUE DEHESA DE LA VILLA ,"Calle Santo Ángel de la Guarda , 6","Calle Santo Ángel de la Guarda , 6,",3,20,305.39
Andrés Eloy Blanco,Monument,Pº Venezuela ,Puerta del Doce de Octubre,"Avenida de Menéndez Pelayo nº 63,",3,24,407.89
Andrés Segovia,Monument,PLAZA ANDRES SEGOVIA 1,María Francisca 1,"Calle María Francisca nº 3,",1,18,114.35
Andrómaca,Monument,PASEO RECOLETOS 1,Cibeles,"Plaza Cibeles,",16,7,164.14
Anfiteatro del parque Cuña Verde de Vicálvaro,Monument,CALLE CASALARREINA 3,Calle Casalarreina 18,"Calle Casalarreina,",10,13,142.53
Anfiteatro del parque del Manzanares,Monument,Cmno Perales s/n,"Avenida Cordoba, 21","Avenida Cordoba, 21,",18,4,720.92
Antigua Fuente de las Delicias,Monument, ,Ortega y Gasset 87,"Calle Ortega y Gasset nº 87,",2,21,184.75
Antigua Iglesia y Hospital del Buen Suceso,Monument, ,Carretas,"Calle Carretas nº 8,",2,21,70.56
Antigua pastelería del Pozo,Monument,C Pozo 8,Carretas,"Calle Carretas nº 8,",2,21,183.57
"Antonia Mercé, la Argentina",Monument,C Ave María 8,Antón Martín,"Calle Atocha nº 54,",11,8,121.61
Antonio Bienvenida,Monument,C Alcalá 231,Alcalá-Ventas,"Calle Alejandro González nº 1,",3,20,207.35
Antonio Bienvenida,Monument,C Alcalá 231,Alcalá-Ventas,"Calle Alejandro González nº 1,",3,20,173.05
Antonio Cánovas del Castillo,Monument,Pza Marina Española ,San Quintín,"Calle Pavía nº 6,",11,16,191.38
Antonio de Andrés Martínez,Monument,PLAZA DON ANTONIO DE ANDRES 1,"Avenida Real, 3","470 - Avenida Real, 3,",3,15,43.5
Antonio Lleó de la Viña,Monument,PARQUE CASA DE CAMPO ,"Calle de las Rosas de Aravaca, s/n","Calle de las Rosas de Aravaca, s/n,",3,20,1900.56
Antonio Machado,Monument,C Antonio Machado 55,"Calle Antonio Machado, 30","Calle Antonio Machado, 30,",7,4,55.81
Antonio Machado,Monument,CALLE SAN ROMAN DEL VALLE 8,Hermanos Garcia Noblejas 133,"Hermanos Garcia Noblejas, 133,",14,9,246.83
Antonio Machado,Monument,CALLE GENERAL ARRANDO 4,Manuel Silvela,"Calle Manuel Silvela nº 20,",4,23,228.96
Antonio Maura,Monument,C Antonio Maura 18,Antonio Maura,"Calle Antonio Maura nº 15,",6,18,45.01
Antonio Mingote,Monument,Pza Cristino Martos 5,Ventura Rodríguez,"Ventura Rodriguez, 2,",2,25,140.41
Antonio Paso Cano,Monument,C Apodaca 9,Barceló,"Calle Barceló nº 7,",15,4,91.66
Antonio Zozaya,Monument,Pza General Vara del Rey 14,Plaza de la Cebada,"Plaza de la Cebada nº 16 ,",27,4,200.21
Antorcha,Monument,BARRIO CIUDAD UNIVERSITARIA ,Ciudad Universitaria 1,"Avenida de la Complutense (Metro Ciudad Universitaria),",7,17,392.08
Antorcha,Monument,Avda General Fanjul 14,"Calle Guareña, 13","Calle Guareña, 13,",2,16,617.36
Apeadero de Pavones,Monument, ,"Fuente Carrantona , 33","Fuente Carrantona , 33,",6,21,318.4
Arco de Moncloa,Monument, ,Moncloa,"Paseo de Moret nº 2,",6,16,130.09
Arcángel San Miguel,Monument,C Costa del Sol 1,"Calle de Velacho Alto, 2","Calle de Velacho Alto, 2,",3,21,555.26
Armando Palacio Valdés,Monument,CALLE MALDONADO 25,Velázquez-Diego de León,"Calle Velázquez nº 91,",2,21,98.75
Artieda y Labiano,Monument,C Navas de Tolosa 10,Santo Domingo,"Plaza de Santo Domingo nº 1,",12,12,152.46
Arturo Duperier Vallesa,Monument,CALLE VIRGEN DEL PORTILLO 37,C.D. Concepción,"Calle Jose del Hierro nº 5,",1,21,213.35
Arturo Pajuelo Rubio,Monument,Pza Sestao ,Guetaria  84b,"Guetaria , 84b,",20,4,254.15
Arturo Soria y Mata,Monument,C Arturo Soria ,"Diego Ayllon, 2","Diego Ayllon, 2,",9,14,331.37
Asilo de Inválidos,Monument,C Arnedo 22,"Plaza de la Parroquia , 20","Plaza de la Parroquia , 20,",2,21,314.91
Ataulfo,Monument,Pza Oriente ,Plaza Ramales,"Plaza de Ramales,",3,20,124.12
Atentado boda real Alfonso XIII,Monument,C Mayor 79,Segovia 26,"Calle Segovia nº 26,",6,21,154.04
Atentados 11-M,Monument,Pza Puerta del Sol 7,Carretas,"Calle Carretas nº 8,",2,21,26.08
Atletas,Monument,CALLE SERRANO 127,Serrano 113,"Calle Serrano nº 113B,",2,25,162.64
Atletas,Monument,C Clara Campoamor 10,"Calle de Avefria, 26","Calle de Avefria, 26,",5,18,317.37
Atrio de la ermita de San Isidro,Monument,Pº Ermita del Santo 78,PASEO DE LOS MELANCÓLICOS 73,"PASEO DE LOS MELANCÓLICOS 73,",4,19,617.3
Auditorio del parque Enrique Tierno Galván,Monument,PARQUE ENRIQUE TIERNO GALVAN ,"Calle Amaltea , 1","271 - Calle Amaltea , 1,",14,10,212.87
Augusto d'Halmar,Monument,CALLE LORETO Y CHICOTE 8,Carlos Cambronero,"Plaza de Carlos Cambronero nº 2,",5,18,164.49
Aula de informática Reina Sofía,Monument,C Camino de la Arboleda ,Calle de Alan Turing,"Calle de Alan Turing,",1,22,172.61
Ave Fénix,Monument,PASEO CASTELLANA 33,Castellana 33,"Castellana 33,",4,19,85.48
Avenida Reyes Católicos,Monument,Pza San Francisco el Grande 1,Plaza de San Francisco,"Plaza de San Francisco nº 5,",7,17,53.42
Azorín,Monument,C Zorrilla 21,Marqués de Cubas,"Calle del Marqués de Cubas nº 25,",7,16,55.39
Azorín,Monument,Gta Azorín ,Segovia 45,"Calle Segovia nº 45,",19,8,153.67
Baco,Monument,PARQUE ALAMEDA DE OSUNA ,"Paseo de la Alameda de Osuna, 48","Paseo de la Alameda de Osuna, 48,",22,5,378.38
Baco y Pomona en el jardín de la Quinta del duque del Arco,Monument,MONTE EL PARDO ,"Calle de Caroli, 1","Calle de Caroli, 1,",8,15,5347.7
Baden Powell,Monument,Ctra Zarzón ,"Carretera del ZOO, s/n (M. Casa Campo)","Carretera del ZOO, s/n (M. Casa Campo),",4,23,618.91
Baldomero Fernández Espartero,Monument,C Francisco y Jacinto Alcántara 1,Pintor Rosales,"Paseo del Pintor Rosales frente al nº 38,",2,22,364.35
Baltasar Bachero,Monument,C Salitre 34,Plaza de Lavapiés,"Calle Valencia nº 1,",8,16,173.71
Banda en los círculos,Monument, ,"Gran Avenida, 27","Gran Avenida, 27,",17,7,302.55
Barrendero madrileño,Monument,Pza Jacinto Benavente ,Jacinto Benavente,"Plaza de Jacinto Benavente,",4,19,16.68
Batalla de Lepanto,Monument,C Lepanto 2,Plaza Ramales,"Plaza de Ramales,",3,20,40.11
Beata Maria Ana de Jesús,Monument,C Valverde 15,Desengaño,"Calle Desengaño nº 1,",2,20,100.24
Beatriz Galindo 'La Latina',Monument,Pza Puerta del Ángel ,Puerta del Ángel,"Plaza Puerta del Ángel nº 4,",17,10,62.51
Beethoven,Monument,PARQUE BERLIN ,Parque Berlín,"Avenida de Concha Espina nº 34,",1,22,182.86
Berenguela,Monument,Pº República Argentina ,Antonio Maura,"Calle Antonio Maura nº 15,",6,18,303.71
Bernardino de Obregón,Monument,C Bernardino Obregón 1,Embajadores 2,"Glorieta de Embajadores nº 2,",9,15,133.22
Bernardo López García,Monument,C Bernardo López Garcia 9,Conde Duque,"Calle Conde Duque nº 22,",3,20,113.79
Berruguete,Monument,C Serrano 13,Biblioteca Nacional,"Paseo de Recoletos nº 20,",8,14,170.96
Blanca de los Ríos,Monument,C Jorge Juan 7,Colón B,"Calle Serrano nº 32,",3,16,115.79
Blas Lázaro e Ibiza,Monument,Pza Ramón y Cajal 2,Ciudad Universitaria 1,"Avenida de la Complutense (Metro Ciudad Universitaria),",7,17,171.27
Botica de José Ortega Hernández,Monument,C Montera 17,Plaza del Carmen ,"Plaza del Carmen nº 1,",5,18,67.95
Botica de la Reina Madre,Monument,C Mayor 59,Plaza de San Miguel,"Plaza de San Miguel nº 9,",1,22,18.86
Bravo Murillo,Monument,CALLE BRAVO MURILLO 49,Quevedo,"Glorieta de Quevedo nº 5,",7,17,34.65
Britannia,Monument,C Guzmán el Bueno 133,San Francisco de Sales,"Calle General Ampudia nº 2,",2,22,200.13
Burrito,Monument,C Pío Felipe 12,"Calle Humanes, 3","Calle Humanes, 3,",13,11,262.28
Busto Pablo Neruda,Monument,Avda Pablo Neruda 40,"Calle Ramirez Tome, 31","Calle Ramirez Tome, 31,",2,25,205.24
Bustos de emperadores romanos del jardín de la Quinta del duque del Arco,Monument,MONTE EL PARDO ,"Calle de Caroli, 1","Calle de Caroli, 1,",8,15,5347.7
Bárbara de Braganza,Monument,Pza Villa de París ,Marqués de la Ensenada,"Calle Marqués de la Ensenada nº 16,",3,20,78.96
Cabeza olmeca,Monument,Avda del Ensanche de Vallecas 13,"Calle de Valderrebollo, 18","444 - Calle de Valderrobollo, 18,",14,9,384.44
Cabo Luis Noval,Monument, ,San Quintín,"Calle Pavía nº 6,",11,16,52.13
Calderón de la Barca,Monument,C Mayor 61,Plaza de San Miguel,"Plaza de San Miguel nº 9,",1,22,35.05
Calle de Milaneses,Monument,C Milaneses 1,Plaza de San Miguel,"Plaza de San Miguel nº 9,",1,22,29.5
Calle de Santiago,Monument,C Santiago 6,Plaza de San Miguel,"Plaza de San Miguel nº 9,",1,22,82.86
Callejón de Jorge Juan,Monument,C Jorge Juan 14,Villanueva,"Calle Claudio Coello nº 19,",2,21,123.55
Camilo José Cela,Monument,Pza Menéndez Pelayo ,Facultad Derecho,"Avenida Complutense nº 23,",3,20,100.94
Camilo José Cela,Monument,C Claudio Coello 91,Ortega y Gasset,"Calle José Ortega y Gasset nº 4,",5,18,76.49
Camilo José Cela,Monument,C Alcalá 185,Mártires Concepcionistas,"Calle Mártires Concepcionistas nº 2,",3,24,44.78
Campana de La Paz,Monument,Pza San Andrés 1,Plaza de los Carros,"Carrera de San Francisco nº 1,",13,14,99.89
Campana de la plaza Mercurio,Monument,Pza Mercurio ,"Plaza Mayor de Barajas, 24","Plaza Mayor de Barajas, 24,",6,18,137.36
Campoamor,Monument,PARQUE RETIRO ,Castelló,"Calle Alcalá nº 111,",5,22,107.72
Campoamor,Monument,C Recoletos 17,Biblioteca Nacional,"Paseo de Recoletos nº 20,",8,14,208.91
Canal del parque Juan Carlos I,Monument, ,"Calle del Boj, 5","Calle del Boj, 5,",8,14,787.91
Canalejas y Méndez,Monument,Pza Puerta del Sol 6,Carretas,"Calle Carretas nº 8,",2,21,19.05
Canillejas,Monument,Pza Mora de Rubielos 4,"Calle Alcala, 590","Calle Alcala, 590,",4,19,176.99
Capiteles Paseo del Prado,Monument,Pº Prado ,Almadén,"Calle Almadén nº 28,",16,7,86.98
Capitán Ángel Melgar,Monument, ,Plaza Ramales,"Plaza de Ramales,",3,20,125.67
Carabela Santa María,Monument,AVENIDA VICTORIA 2,"Calle de Caroli, 1","Calle de Caroli, 1,",8,15,2820.28
Cardenal Cisneros,Monument,CALLE CARDENAL CISNEROS 2,Malasaña,"Calle Manuela Malasaña nº 5,",10,17,147.47
Carlos Arniches,Monument,C Carlos Arniches 31,Ribera de Curtidores,"Calle Ribera de Curtidores nº 28,",14,13,212.73
Carlos Arniches,Monument,CALLE MONTE ESQUINZA 1,Marqués de la Ensenada,"Calle Marqués de la Ensenada nº 16,",3,20,147.56
Carlos I de España y V de Alemania,Monument,Pº República Argentina ,Antonio Maura,"Calle Antonio Maura nº 15,",6,18,149.11
Carlos Ibáñez de Ibero,Monument,CALLE GENERAL IBAÑEZ DE IBERO 1,Reina Victoria,"Calle Beatriz de Bobadilla frente al nº 2,",4,18,302.39
Carlos II,Monument,Pº República Argentina ,Antonio Maura,"Calle Antonio Maura nº 15,",6,18,180.86
Carlos III,Monument,Pza Murillo 2,"Avenida del Ensanche de Vallecas, 9","Avenida del Ensanche de Vallecas, 9,",17,10,
Carlos III,Monument,Pza Puerta del Sol ,Carretas,"Calle Carretas nº 8,",2,21,48.63
Carlos Lezcano,Monument,C Rollo 3,Plaza del Cordón,"Plaza del Cordón,",1,23,67.58
Carlos Linneo (Carl von Linne),Monument,Pza Murillo 2,Puerta del Ángel Caído,"Avenida de Alfonso XII nº 54,",6,21,183.66
Carlos María Rodríguez de Valcárcel,Monument,Pza Encuentro 4,Plaza del Encuentro,"Calle Arroyo de las Pilillas nº 6,",11,13,149.88
Carlos Moreno,Monument,C Francisco y Jacinto Alcántara 1,Pintor Rosales,"Paseo del Pintor Rosales frente al nº 38,",2,22,299.05
Carlos y Guillermo Fernández-Shaw,Monument,C Carlos y Guillermo Fernández Shaw ,Conde de Casal,"Plaza del Conde de Casal nº 8,",16,2,107.17
Carnicer Betllé Ramón,Monument,CALLE SANTA ISABEL 38,Santa Isabel,"Calle Santa Isabel 32,",16,11,64.86
Carolus III Hispaniarum Rex,Monument, ,San Quintín,"Calle Pavía nº 6,",11,16,170.68
Casa de la Panadería,Monument,Pza Mayor 27,Calle Mayor,"Calle Mayor nº 20,",8,19,88.71
Casa de la Panadería,Monument,Pza Mayor 27,Calle Mayor,"Calle Mayor nº 20,",8,19,68.15
Casa del Pescador del Retiro,Monument,Pº Duque de Fernán Núñez ,Puerta de Madrid,"Avenida de Menéndez Pelayo, 9,",9,18,124.14
Castilla,Monument,CALLE CASTELLO 77,Marqués de Salamanca,"Calle José Ortega y Gasset nº 30,",4,18,125.4
Cavanilles,Monument,Pza Murillo 2,Cuesta de Moyano,"Cuesta de Claudio Moyano,",8,15,126.94
Caídos de Chamartin de la Rosa,Monument,PLAZA DUQUE DE PASTRANA 1,Plaza Duque Pastrana 1,"Plaza Duque Pastrana, 1,",10,13,16.49
Caídos del Cuartel de la Montaña,Monument,C Ferraz ,Plaza de España A,"Calle Princesa nº 5,",1,17,295.93
Cañas silbadoras,Monument,CALLE CEA BERMUDEZ 50,Cea Bermúdez,"Calle Cea Bermúdez nº 59,",8,19,184.82
Cecilio Rodríguez,Monument, ,Puerta del Pacífico ,"Avenida de Menéndez Pelayo nº 69,",9,18,160.28
"Cementerio de la Florida, recinto y capilla",Monument,C Francisco y Jacinto Alcántara 1,Pintor Rosales,"Paseo del Pintor Rosales frente al nº 38,",2,22,356.92
Centenario de la primera sesión de cine,Monument,Ctra San Jerónimo 32,Sevilla,"Calle Alcalá nº 27,",5,13,179.54
Centenario del Hospital Central de la Defensa,Monument,GLORIETA EJERCITO 1,"Paseo de Marcelino Camacho, 53B","Paseo de Marcelino Camacho, 53B,",1,22,88.79
Centro Básico de Servicios Sociales y 3ª Edad,Monument,C Villalonso 12," Arroyo Bueno, 53","Arroyo Bueno, 53,",3,24,171.08
Centro Cultural Antonio Machado,Monument,CALLE SAN ROMAN DEL VALLE 8,Hermanos Garcia Noblejas 133,"Hermanos Garcia Noblejas, 133,",14,9,246.83
Centro Cultural Remonta,Monument,PLAZA REMONTA 12,Remonta,"Calle Azucenas nº 1,",1,18,52.08
Centro Cultural San Cristóbal de los Ángeles,Monument,Pza Pinazo 9,"Calle Cifuentes, 5","Calle Cifuentes, 5,",11,12,830.39
Centro Cultural San Juan Bautista,Monument,C San Nemesio 4,"Angel Muñoz, 1","Angel Muñoz, 1,",2,25,338.74
Centro Cultural Ágata,Monument,Pza Ágata 2,"Doctor Martín Arévalo, 19","Calle Doctor Martín Arévalo, 19,",9,15,102.35
Centro de Educación Especial Reina Sofía,Monument,Ctra Canillas 51,"Calle Andorra, 6","546 - Calle Andorra, 6,",1,22,173.19
Centro de Servicios Sociales Luis Vives,Monument,AVENIDA INSTITUCION LIBRE DE ENSE&amp;Ntilde;ANZA 160,"Hermanos Garcia Noblejas, 158","Hermanos Garcia Noblejas, 158,",3,21,43.19
Centro Integrado Teresa de Calcuta,Monument,Pza Navío ,"Avenida de Cantabria, 6","Avenida de Cantabria, 6,",18,6,76.0
Centro Juvenil Miguel de Cervantes,Monument,CALLE FENELON 6,"Calle Troya, 11","Calle Troya, 11,",22,2,89.96
Centro Tercera Edad,Monument,C Jerte ,Plaza de San Francisco,"Plaza de San Francisco nº 5,",7,17,83.5
Cervantes,Monument,Pº Recoletos 20,Biblioteca Nacional,"Paseo de Recoletos nº 20,",8,14,69.08
Chamberí a sus hijos,Monument,C Francisco y Jacinto Alcántara 1,Pintor Rosales,"Paseo del Pintor Rosales frente al nº 38,",2,22,356.43
Chintila,Monument,PARQUE RETIRO ,Castelló,"Calle Alcalá nº 111,",5,22,107.72
Chueca,Monument,Pº Uruguay ,Menéndez Pelayo,"Avenida de Menéndez Pelayo con calle Poeta Esteban Villegas,",11,15,376.79
Chulín,Monument,COMPLEJO ZOOLOGICO DE LA CASA CAMPO ," Paseo de la Venta, 1","Paseo de la Venta, 1,",7,20,846.97
Cilindros en el espacio,Monument,PASEO CASTELLANA 1,Plaza de Colón,"Calle Goya nº 1,",3,20,121.41
Cinco obeliscos Centro Comercial Arturo Soria Plaza,Monument,C Arturo Soria 126,"Diego Ayllon, 2","Diego Ayllon, 2,",9,14,230.73
Cinematógrafo,Monument,CARRERA SAN JERONIMO 32,Sevilla,"Calle Alcalá nº 27,",5,13,181.09
Ciudad Sanitaria 12 Octubre,Monument,Avda Córdoba ,"Doctor Tolosa Latour, 7","Doctor Tolosa Latour, 7,",12,11,352.6
Ciudad Sanitaria La Paz,Monument,Pº Castellana 261,Manuel Caldeiro,"Paseo de la Castellana nº 298,",5,19,126.11
Clara Campoamor,Monument,Avda General Fanjul ,"Avenida de las Aguilas , 110","Avenida de las Aguilas , 110,",1,22,123.83
Clara Campoamor,Monument,Pza Guardias de Corps ,Conde Duque,"Calle Conde Duque nº 22,",3,20,27.36
Clara del Rey,Monument,CALLE CLARA DEL REY 1,"Clara del Rey, 6","Clara del Rey, 6,",5,19,153.0
Claudio Moyano,Monument,C Claudio Moyano ,Cuesta de Moyano,"Cuesta de Claudio Moyano,",8,15,9.16
Claudio Sánchez Albornoz,Monument,PLAZA CELENQUE 1,Plaza de Celenque B,"Plaza de Celenque nº 1,",4,20,14.07
Colegiales,Monument,C Mirasierra 29,"Amparo Usera , 46","Amparo Usera , 46,",22,0,264.2
Colegiales,Monument,Pza Pinazo 7,"Calle Cifuentes, 5","Calle Cifuentes, 5,",11,12,834.64
Colegio Mayor San Pablo,Monument,CALLE ISAAC PERAL 58,Hospital Clínico,"Calle Isaac Peral nº 44,",4,19,252.78
Colegio Nacional Padre Vitoria,Monument,C Hacienda de Pavones 328,Pavones,"Calle Hacienda de Pavones nº 342,",16,7,303.89
Colegio Príncipe Felipe,Monument,AVENIDA MONFORTE DE LEMOS 24,"Calle Melchor Fernandez Almagro, 16","Calle Melchor Fernandez Almagro, 16,",8,16,289.23
Colegio Público Dionisio Ridruejo,Monument,C Zipaquira 14,"Zapatoca, 8","Calle Zapatoca, 8,",6,17,104.97
Colonia San Fernando,Monument,Avda Guardia ,"Calle de Gloria Fuertes, 181","Calle de Gloria Fuertes, 181,",21,6,4673.83
Colonia Torres Garrido,Monument,Col Torres Garrido ,"Plaza de la Parroquia , 20","Plaza de la Parroquia , 20,",2,21,146.62
Columna corintia en la Quinta de los Molinos,Monument,CALLE ALCALA 527,"Calle Alcala, 506","Calle Alcalá, 506,",12,11,39.64
Columna de Calatrava,Monument,PLAZA CASTILLA 1,Plaza de Castilla 2,"Paseo Castellana (Fundación Canal),",3,20,124.13
Columna de Saturno,Monument,PARQUE ALAMEDA DE OSUNA ,"Paseo de la Alameda de Osuna, 48","Paseo de la Alameda de Osuna, 48,",22,5,378.38
Columna jónica en la Quinta de los Molinos,Monument,CALLE ALCALA 527,"Calle Alcala, 506","Calle Alcalá, 506,",12,11,39.64
Columnas de la casa de las Siete Chimeneas,Monument,C Infantas 31,Banco de España A,"Calle Alcalá nº 49,",9,18,182.11
Columnas de los Enfrentados,Monument, ,"Paseo de la Alameda de Osuna, 48","Paseo de la Alameda de Osuna, 48,",22,5,55.9
Columnas del Paseo del Prado,Monument,Pº Prado ,Cibeles,"Plaza Cibeles,",16,7,38.71
Columnas ornamentales en el jardín del palacete Villa Rosa,Monument, ,"Vicente Muzas, 12","Vicente Muzas, 12,",8,15,497.97
Columnas Rosaleda I y II,Monument,C Rosaleda ,Pintor Rosales,"Paseo del Pintor Rosales frente al nº 38,",2,22,157.49
Columnas toscanas Pradolongo,Monument,PARQUE PRADOLONGO ,"Doctor Tolosa Latour, 7","Doctor Tolosa Latour, 7,",12,11,193.82
