Place of interest,Type of place,Place address,BiciMAD station,Station location,Available bikes,Available docks,distance
Estanque del Parque Zoológico,Monument,COMPLEJO ZOOLOGICO DE LA CASA CAMPO ," Paseo de la Venta, 1","Paseo de la Venta, 1,",1,26,846.97
Estanque del Repartidor,Monument,PARQUE CASA DE CAMPO ,"Calle de las Rosas de Aravaca, s/n","Calle de las Rosas de Aravaca, s/n,",3,20,1900.56
Estanque Descubrimiento,Monument,Pza Colón ,Colón B,"Calle Serrano nº 32,",4,15,46.14
Estanque e isla ovalada del Parque del Retiro,Monument, ,Puerta del Pacífico ,"Avenida de Menéndez Pelayo nº 69,",1,26,420.16
Estanque elíptico de la Quinta de los Molinos,Monument,CALLE ALCALA 527,"Calle Alcala, 506","Calle Alcalá, 506,",5,18,39.64
Estanque elíptico IVECO-Pegaso,Monument,Avda Aragón 402,"Soto Hidalgo, 2","Calle Soto Hidalgo, 2,",11,14,3107.4
Estanque en la avenida Reyes Católicos,Monument,Avda Reyes Católicos 6,Moncloa,"Paseo de Moret nº 2,",4,19,361.13
Estanque Ensanche de Vallecas,Monument,AVENIDA ENSANCHE DE VALLECAS 1,"Calle Enrique Garcia Alvarez, 5","Calle Enrique Garcia Alvarez, 5,",21,6,313.47
Estanque escalonado Pinar del Rey,Monument,C Macuaje ,"Zapatoca, 8","Calle Zapatoca, 8,",10,13,359.53
Estanque este del parque de San Isidro,Monument,PARQUE SAN ISIDRO ,PASEO DE LOS MELANCÓLICOS 73,"PASEO DE LOS MELANCÓLICOS 73,",15,7,582.49
Estanque Eugenia de Montijo,Monument, ,"382-Parque Eugenia de Montijo, 2","Parque Eugenia de Montijo, 2,",2,22,329.28
Estanque E. T. Superior de Ingenieros Agrónomos,Monument,Avda Puerta de Hierro 4,Ciudad Universitaria 2,"Avenida de la Complutense (Metro Ciudad Universitaria),",6,13,161.7
Estanque grande del Retiro,Monument,Pº Estanque (Parque del Retiro) ,"Menéndez Pelayo, entrada Florida Park","Menéndez Pelayo, entrada Florida Park,",1,22,452.89
Estanque grande parque de Azorín,Monument, ,"Arroyo del Olivar, 63","Calle del Arroyo del Olivar, 63,",4,20,212.89
Estanque grande parque de Entrevías,Monument,PARQUE ENTREVIAS ,"Avenida de Entrevias, 56","Avenida de Entrevias, 56,",4,20,618.13
Estanque grande parque del Manzanares,Monument,CALLE EMBAJADORES 320,"Calle Puerto Serrano, 1","Calle Puerto Serrano, 1,",19,4,842.42
Estanque Guillermo Pingarrón,Monument,C Guillermo Pingaron 4 y 6,"Calle Ramirez Tome, 31","Calle Ramirez Tome, 31,",7,20,277.15
Estanque I Campo de las Naciones,Monument,"Avda Capital de España, Madrid ","Avda. del Partenón, 6","5568 - Avda. del Partenón, 6,",1,26,283.12
Estanque II Campo de las Naciones,Monument,"Avda Capital de España, Madrid ","Avda. del Partenón, 6","5568 - Avda. del Partenón, 6,",1,26,192.13
Estanque III Campo de las Naciones,Monument,"Avda Capital de España, Madrid ","Avda. del Partenón, 6","5568 - Avda. del Partenón, 6,",1,26,143.04
Estanque jardines de Dionisio Ridruejo,Monument, ,"Corregidor Ldo. Antonio de Mena, sn","Corregidor licenciado Antonio de Mena, sn,",8,16,314.55
Estanque jardín Judío,Monument,JARDIN TRES CULTURAS ,"Avda del Partenon, 16","564 - Avda del Partenon, 16,",4,19,873.65
Estanque La Masía,Monument,CALLE PRINCIPAL DE PROVINCIAS 2,Puerta del Ángel,"Plaza Puerta del Ángel nº 4,",23,4,162.63
Estanque lineal en seis tramos del parque de las  Delicias,Monument,C Párroco Eusebio Cuenca ,Paseo de las Delicias,"Paseo de las Delicias nº 94,",2,25,385.51
Estanque norte del parque de Arias Navarro,Monument, ,"Calle Illescas, 80","Calle Illescas, 80,",14,9,276.9
Estanque norte del parque Juan Carlos I,Monument,PARQUE JUAN CARLOS I 1,"Avda del Partenon, 16","564 - Avda del Partenon, 16,",4,19,485.59
Estanque norte Nuevos Ministerios,Monument,PASEO CASTELLANA 67,Castellana 106,"Paseo de la Castellana nº 106,",6,15,135.84
Estanque oeste del parque de San Isidro,Monument,PARQUE SAN ISIDRO ,PASEO DE LOS MELANCÓLICOS 73,"PASEO DE LOS MELANCÓLICOS 73,",15,7,582.49
Estanque para patos de los jardines del Campo del Moro,Monument, ,Segovia 45,"Calle Segovia nº 45,",16,11,463.73
Estanque para patos del parque Fuente del Berro,Monument, ,Quinta Fuente del Berro,"Calle Sancho Dávila esquina Paseo Marqués de Zafra,",15,9,230.06
Estanque parque Huerta de la Salud,Monument, ,"Calle de Santa Virgilia, 6","Calle de Santa Virgilia, 6,",4,7,238.15
Estanque paseo Central,Monument, ,"Avda del Partenon, 16","564 - Avda del Partenon, 16,",4,19,368.23
Estanque pequeño de los jardines de Cecilio Rodríguez,Monument, ,Puerta del Doce de Octubre,"Avenida de Menéndez Pelayo nº 63,",15,12,147.97
Estanque pequeño en la avenida Cantabria I,Monument,Avda Cantabria ,"Soto Hidalgo, 2","Calle Soto Hidalgo, 2,",11,14,272.07
Estanque plaza del Recibimiento,Monument, ,"Avda del Partenon, 16","564 - Avda del Partenon, 16,",4,19,260.54
Estanque poligonal del parque Marqués de Suances,Monument,Avda Veinticinco de Septiembre ,"Juan Ignacio Luca de Tena, 13","C Juan Ignacio Luca de Tena, 13,",5,22,412.24
Estanque Puerta Logroño,Monument, ,"Bahía de Cádiz, 2","Bahía de Cádiz, 2,",1,22,114.14
Estanque Rafaela Ybarra,Monument,Avda Rafaela Ybarra ,"Calle de la Avena, 10","Calle de la Avena, 10,",14,9,378.85
Estanque rectangular Cuzco,Monument,PASEO CASTELLANA 167,Calle Rosario Pino,"Calle Rosario Pino,",7,16,111.44
Estanque rectangular C.S.I.C.,Monument,CALLE SERRANO 117,Serrano 113,"Calle Serrano nº 113B,",5,22,195.46
Estanque rectangular en la avenida Cantabria,Monument,Avda Cantabria ,"Soto Hidalgo, 2","Calle Soto Hidalgo, 2,",11,14,197.99
Estanque rectangular Nuevos Ministerios,Monument,Pº Castellana 67,Plaza de San Juan de la Cruz,"Plaza de San Juan de la Cruz nº 11,",7,16,205.82
Estanque rectangular Nuevos Ministerios,Monument,PASEO CASTELLANA 67,Castellana 106,"Paseo de la Castellana nº 106,",6,15,135.84
Estanque rectangular Vistillas,Monument,Pza Gabriel Miró ,Segovia 26,"Calle Segovia nº 26,",9,18,197.09
Estanque Rosaleda,Monument,CALLE ROSALEDA 1,Pintor Rosales,"Paseo del Pintor Rosales frente al nº 38,",7,17,188.94
Estanque Rosaleda Norte,Monument,C Rosaleda ,Pintor Rosales,"Paseo del Pintor Rosales frente al nº 38,",7,17,181.76
Estanque Rosaleda Sur,Monument,C Rosaleda ,Pintor Rosales,"Paseo del Pintor Rosales frente al nº 38,",7,17,215.56
Estanque rústico y puente de los jardines de Cecilio Rodríguez,Monument, ,Puerta del Doce de Octubre,"Avenida de Menéndez Pelayo nº 63,",15,12,180.14
Estanque semicircular y canal Pradolongo,Monument,PARQUE PRADOLONGO ,"Doctor Tolosa Latour, 7","Doctor Tolosa Latour, 7,",3,20,193.82
Estanque Sepúlveda del parque Cuña Verde,Monument,Pq Cuña Verde ,"Calle Valmojado, 53","Calle Valmojado, 53,",10,14,301.92
Estanque sur Aluche,Monument, ,"Calle Valmojado, 295","Calle Valmojado, 295,",4,14,191.75
Estanque sur del parque Juan Carlos I,Monument,PARQUE JUAN CARLOS I 1,"Avda del Partenon, 16","564 - Avda del Partenon, 16,",4,19,485.59
Estanque sur en la avenida de los Poblados,Monument,PARQUE CRUCES ,"382-Parque Eugenia de Montijo, 2","Parque Eugenia de Montijo, 2,",2,22,576.82
Estanque Toledo-Acacias,Monument, ,Pirámides,"Calle Toledo nº 181,",12,12,68.84
Estanque trapezoidal Costillares,Monument,C Serrano Galvache 4,Calle Serrano Galvache,"Calle Serrano Galvache,",3,20,236.02
Estanque triple Cuzco,Monument,PASEO CASTELLANA 137,Sor Ángela de la Cruz,"Calle Sor Ángela de la Cruz nº 2,",2,22,43.62
Estanque Vaguada,Monument,AVENIDA BETANZOS 1,"Chantada, 2","Calle Chantada, 2,",3,21,211.02
Estanque y cascada Cuzco,Monument,Pº Castellana 149,Sor Ángela de la Cruz,"Calle Sor Ángela de la Cruz nº 2,",2,22,126.54
Estanque y fuente del Parque de Atracciones,Monument,PARQUE ATRACCIONES CASA CAMPO ,"Calle El Greco, 27","Calle El Greco, 27,",6,18,771.26
Estanque óvalo del Retiro,Monument,Pº Panamá ,"Menéndez Pelayo, entrada Florida Park","Menéndez Pelayo, entrada Florida Park,",1,22,148.97
Estanques con dos fuentes en la Quinta de los Molinos,Monument,CALLE ALCALA 527,"Calle Alcala, 506","Calle Alcalá, 506,",5,18,39.64
Estanques del Parterre,Monument, ,"Paseo de la Alameda de Osuna, 48","Paseo de la Alameda de Osuna, 48,",19,8,243.93
Estanques en cascada de los jardines de Cecilio Rodríguez,Monument, ,Puerta del Doce de Octubre,"Avenida de Menéndez Pelayo nº 63,",15,12,122.52
Estanques gemelos de la antigua Casa de Fieras,Monument, ,Puerta del Doce de Octubre,"Avenida de Menéndez Pelayo nº 63,",15,12,85.81
Estanques largos de los jardines de Cecilio Rodríguez,Monument, ,Puerta del Pacífico ,"Avenida de Menéndez Pelayo nº 69,",1,26,204.32
Estanques Puente de Segovia,Monument,Puente de Segovia ,Paseo Virgen del Puerto,"Paseo virgen de puerto,",15,0,363.43
Estanques rectangulares Pradolongo,Monument, ,"Avenida de los Poblados, 130","Avenida de los Poblados, 130,",13,10,177.65
Estanques-graderíos,Monument,JARDIN TRES CULTURAS ,"Avda del Partenon, 16","564 - Avda del Partenon, 16,",4,19,873.65
Estatua La Paz,Monument,Pº Castellana 261,"Calle de Angel Mugica, 3","Calle de Angel Mugica, 3,",5,19,489.97
Estatua Virgen María,Monument,C Gómez de Arteche 30,"Alfredo Aleix, 7","381 - Alfredo Aleix, 7,",14,10,134.78
Estela de Venus,Monument,Pº Castellana 41,Castellana 42,"Paseo de la Castellana nº 42,",2,21,95.65
Estructura permutacional,Monument,Pº Castellana 41,Castellana 42,"Paseo de la Castellana nº 42,",2,21,74.27
Estructuración hiperpoliédrica del espacio,Monument,PASEO CASTELLANA 41,Glorieta de Em,"Paseo de la Castellana nº 43,",3,9,54.81
Estudiante,Monument,CALLE NUESTRA SEÑORA DE LA LUZ 53,"Calle Ocaña, 103","Calle Ocaña, 103,",4,19,143.27
Eugenio de Santa Cruz y Espejo,Monument,PASEO CAMOENS Y VALERO 2,Paseo de Moret,"Paseo de Moret nº 11,",10,13,200.49
Eugenio d'Ors,Monument,Pza Cordón 2,Plaza del Cordón,"Plaza del Cordón,",15,9,9.0
Eugenio d´Ors Rovira,Monument,Pº Prado ,Huertas,"Calle Jesús nº 1,",6,19,196.09
Eugenio María de Hostos,Monument, ,Paseo de Moret,"Paseo de Moret nº 11,",10,13,230.93
Eurico,Monument,Pza Oriente ,Plaza Ramales,"Plaza de Ramales,",8,15,116.28
Eva Perón,Monument,Avda Francisco Silvela 4,Ortega y Gasset 87,"Calle Ortega y Gasset nº 87,",4,19,137.54
Evaristo San Miguel,Monument,C Francisco y Jacinto Alcántara 1,Pintor Rosales,"Paseo del Pintor Rosales frente al nº 38,",7,17,356.54
Exedra,Monument, ,"Paseo de la Alameda de Osuna, 48","Paseo de la Alameda de Osuna, 48,",19,8,141.42
Explanada de la Selección Española de Fútbol,Monument, Explanada de la Selección Española de Fútbol ,Paseo de la Florida,"Paseo de la Florida nº 8,",22,5,527.42
Facultad de Farmacia,Monument,Pza Ramón y Cajal 2,Ciudad Universitaria 2,"Avenida de la Complutense (Metro Ciudad Universitaria),",6,13,282.55
Fama,Monument,C Barceló ,Barceló,"Calle Barceló nº 7,",15,4,58.04
Familia,Monument, ,"Vicente Muzas, 12","Vicente Muzas, 12,",2,21,78.23
Familia,Monument,Trav Felipe de Diego ,"Calle de Romeo y Julieta, 12","Calle de Romeo y Julieta, 12,",27,0,169.63
Farolero madrileño,Monument,C Concepción Jerónima 15,Conde de Romanones,"Plaza del Conde de Romanones nº 9,",15,3,74.39
Fauna Mayor Ibérica I,Monument,C Arturo Soria ,"Jose del Hierro , 69","Jose del Hierro , 69,",6,17,30.41
Fauna Mayor Ibérica II,Monument,C Arturo Soria 101,"Diego Ayllon, 2","Diego Ayllon, 2,",3,20,211.43
Fauna Mayor Ibérica III,Monument,C Arturo Soria ,"Vicente Muzas, 12","Vicente Muzas, 12,",2,21,41.95
Fauno,Monument, ,Pirámides,"Calle Toledo nº 181,",12,12,51.44
Federico de Madrazo,Monument,C Los Madrazo 24,Marqués de Cubas,"Calle del Marqués de Cubas nº 25,",3,20,149.7
Federico García Lorca,Monument,Pº Federico García Lorca ,"Paseo de Federico Garcia Lorca, 4","Paseo de Federico Garcia Lorca, 4,",1,16,289.92
Federico García Lorca,Monument,Pza Santa Ana ,Plaza de Santa Ana,"Plaza de Santa Ana nº 10,",8,7,46.41
Federico García Lorca,Monument,C Alcalá 96,Plaza de Felipe II,"Plaza de Felipe II,",10,13,49.04
Federico Romero Sarachaga,Monument,CALLE EL ESPA&amp;Ntilde;OLETO 23,Santa Engracia 14,"Calle Santa Engracia nº 14,",2,21,265.65
Federico Rubio,Monument,PARQUE OESTE ,Moncloa,"Paseo de Moret nº 2,",4,19,338.93
Felipe II,Monument, ,San Quintín,"Calle Pavía nº 6,",8,19,241.63
Felipe III,Monument,Pza Mayor ,Plaza de San Miguel,"Plaza de San Miguel nº 9,",15,9,181.19
Felipe IV,Monument,Pza Oriente ,San Quintín,"Calle Pavía nº 6,",8,19,114.1
Felipe IV,Monument,C Méndez Núñez 1,Antonio Maura,"Calle Antonio Maura nº 15,",2,22,119.88
Felipe Picatoste Rodríguez,Monument,Pza Cordón 3,Plaza del Cordón,"Plaza del Cordón,",15,9,38.66
Ferenc Liszt,Monument,PLAZA CORTES 6,Marqués de Cubas,"Calle del Marqués de Cubas nº 25,",3,20,93.37
Fernando de Castro,Monument,C Arenal 16,Plaza de San Miguel,"Plaza de San Miguel nº 9,",15,9,264.08
Fernando Fresno,Monument,C Santa Isabel 28,Santa Isabel,"Calle Santa Isabel 32,",17,10,27.88
Fernando I,Monument,Pza Oriente ,San Quintín,"Calle Pavía nº 6,",8,19,100.15
Fernando III El Santo,Monument,JARDIN PALACIO REAL ,Plaza de España A,"Calle Princesa nº 5,",13,5,243.6
Fernando III El Santo,Monument, ,San Quintín,"Calle Pavía nº 6,",8,19,254.58
Fernando IV,Monument,Pº República Argentina ,Antonio Maura,"Calle Antonio Maura nº 15,",2,22,103.68
Fernando V El Católico,Monument, ,San Quintín,"Calle Pavía nº 6,",8,19,245.61
Fernando VI,Monument,Pza Villa de París ,Marqués de la Ensenada,"Calle Marqués de la Ensenada nº 16,",2,21,145.96
Fernán González 1er Conde Independiente de Castilla,Monument,Pza Oriente ,San Quintín,"Calle Pavía nº 6,",8,19,83.24
Fernández Caballero Manuel,Monument,C Cervantes 34,Huertas,"Calle Jesús nº 1,",6,19,115.81
Fernández Valliciergo Vicente,Monument,C Ballesta 7,Desengaño,"Calle Desengaño nº 1,",11,12,152.41
Figura femenina,Monument,Trav Felipe de Diego 20,"Calle de Romeo y Julieta, 12","Calle de Romeo y Julieta, 12,",27,0,194.76
Fisicromía para Madrid,Monument,PARQUE JUAN CARLOS I 1,"Avda del Partenon, 16","564 - Avda del Partenon, 16,",4,19,485.59
Florestán Aguilar,Monument,C Florestán Aguilar 1,Ortega y Gasset 87,"Calle Ortega y Gasset nº 87,",4,19,107.02
Fofó,Monument,PARQUE ATRACCIONES CASA CAMPO ,"Calle El Greco, 27","Calle El Greco, 27,",6,18,771.26
Fomento,Monument,PASEO CASTELLANA 67,Castellana 106,"Paseo de la Castellana nº 106,",6,15,135.84
Fontines del jardín de los Planteles del Retiro,Monument,PARQUE RETIRO ,Castelló,"Calle Alcalá nº 111,",6,21,107.72
Foro-patio del parque Clara Eugenia,Monument, ,"Calle de Santa Virgilia, 6","Calle de Santa Virgilia, 6,",4,7,476.82
Fortuna,Monument,CALLE GUZMAN EL BUENO 137,Reina Victoria,"Calle Beatriz de Bobadilla frente al nº 2,",7,16,260.81
Fosa enterramiento,Monument,CALLE FRANCISCO Y JACINTO ALCANTARA 1,Pintor Rosales,"Paseo del Pintor Rosales frente al nº 38,",7,17,219.74
Francisco Alcántara,Monument,CALLE FRANCISCO Y JACINTO ALCANTARA 1,Pintor Rosales,"Paseo del Pintor Rosales frente al nº 38,",7,17,219.74
Francisco Alonso,Monument,CALLE ALCALA 1,Sevilla,"Calle Alcalá nº 27,",9,9,334.14
Francisco de Asis de Borbón,Monument,PASEO VIRGEN DEL PUERTO 1,Paseo de la Florida,"Paseo de la Florida nº 8,",22,5,412.71
Francisco de Goya,Monument,C Alcalá ,Plaza de Felipe II,"Plaza de Felipe II,",10,13,92.17
Francisco de Goya,Monument,Gta San Antonio de la Florida ,Paseo de la Florida,"Paseo de la Florida nº 8,",22,5,459.16
Francisco de Goya,Monument,Pº Ermita del Santo ,"Calle Comandante Fontanes, 1","Calle Comandante Fontanes, 1,",16,7,594.58
Francisco de Paula Martí Mora,Monument,Pº El Salvador ,"Menéndez Pelayo, entrada Florida Park","Menéndez Pelayo, entrada Florida Park,",1,22,206.47
Francisco de Quevedo y Villegas,Monument,C Huertas 43,Antón Martín,"Calle Atocha nº 54,",13,6,171.25
Francisco de Quevedo y Villegas,Monument,GLORIETA QUEVEDO 1,Quevedo,"Glorieta de Quevedo nº 5,",2,20,81.08
Francisco de Quevedo y Villegas,Monument,C Lope de Vega 17,Huertas,"Calle Jesús nº 1,",6,19,175.06
Francisco Fatou,Monument,Cmno Suerte 23,"Calle del Pico Chilegua, 3","Calle del Pico Chilegua, 3,",10,14,356.62
Francisco Javier,Monument,CALLE MARTIRES DE LA VENTILLA 34,"Calle de Costa Verde, 24","Calle de Costa Verde, 24,",3,20,470.48
Francisco Largo Caballero,Monument,PASEO CASTELLANA 1,Plaza de Colón,"Calle Goya nº 1,",2,21,121.41
Francisco Largo Caballero,Monument,PLAZA CHAMBERI 4,Manuel Silvela,"Calle Manuel Silvela nº 20,",1,26,300.29
Francisco Largo Caballero,Monument,C Francisco Largo Caballero ,"Fernando Gabriel , 5","Fernando Gabriel , 5,",17,7,141.67
Francisco Navarro Ledesma,Monument,C Serrano 72,Ortega y Gasset,"Calle José Ortega y Gasset nº 4,",2,20,48.28
Francisco Palau y Quer,Monument,CALLE PADRE FRANCISCO PALAU Y QUER 1,Torre Cepsa,"Calle Sinesio Delgado nº 2,",6,21,136.5
Francisco Piquer,Monument,Pza Descalzas ,Miguel Moya,"Calle Miguel Moya nº 1,",19,8,271.08
Francisco Pizarro,Monument,PASEO CASTELLANA 140,Paseo de la Habana 42,"Paseo de la Habana nº 42,",5,18,270.0
Francisco Tomás y Valiente,Monument,CALLE DOMENICO SCARLATTI 6,Hospital Clínico,"Calle Isaac Peral nº 44,",4,18,155.28
Francisco Villaespesa,Monument,CALLE GALILEO 12,Santa Cruz del Marcenado,"Calle Santa Cruz del Marcenado nº 24,",4,19,245.89
Frascuelo,Monument,C Arenal 22,Palacio de Oriente,"Calle Carlos III nº 1,",6,12,259.18
Frases en pavimento urbano eje Museo del Prado- Palacio de Oriente,Monument,Pza Ángel 9,Plaza Ramales,"Plaza de Ramales,",8,15,91.45
Fray Francisco Cabezas,Monument,Pza San Francisco el Grande 1,Plaza de San Francisco,"Plaza de San Francisco nº 5,",23,1,14.67
Fray Pedro Ponce de León,Monument,Avda Eduardo Barreiros 6,"Avenida de la Perla, 35","Avenida de la Perla, 35,",16,7,339.33
Fray Pedro Ponce de León,Monument,AVENIDA CANILLEJAS A VICALVARO 82,"Calle de los Aparejadores, 24","Calle de los Aparejadores, 24,",2,22,433.5
Fray Pedro Ponce de León,Monument,Pº Duque de Fernán Núñez ,Castelló,"Calle Alcalá nº 111,",6,21,195.46
Fuente Amanecer,Monument,Pza Amanecer en Méndez Álvaro ,Méndez Álvaro,"Calle Méndez Álvaro nº 11,",12,10,279.1
Fuente baja del parque Enrique Tierno Galván,Monument, ,"Calle Amaltea , 1","271 - Calle Amaltea , 1,",21,2,225.8
"Fuente Blanca, cascada y estanque bajo del jardín del duque del Arco",Monument,MONTE EL PARDO ,"Calle de Caroli, 1","Calle de Caroli, 1,",6,17,5347.7
Fuente Carlos Jiménez Díaz,Monument,PLAZA CRISTO REY 1,Hospital Clínico,"Calle Isaac Peral nº 44,",4,18,143.9
Fuente Casa de Campo,Monument, ,Paseo de la Florida,"Paseo de la Florida nº 8,",22,5,388.38
Fuente cascada del Museo al aire libre,Monument,Pº Castellana 41,Castellana 42,"Paseo de la Castellana nº 42,",2,21,101.98
Fuente Cascada-Reloj Noria,Monument,CALLE SINESIO DELGADO 40,"Chantada, 2","Calle Chantada, 2,",3,21,295.62
Fuente cibernética del Auditorio del parque Juan Carlos I,Monument,AUDITORIO JUAN CARLOS I ,"Paseo de la Alameda de Osuna, 48","Paseo de la Alameda de Osuna, 48,",19,8,707.62
Fuente cibernética D. Juan de Bórbón,Monument,Gta Su Alteza Real Don Juan de Borbón y Battemberg ,"Avda. del Partenón, 6","5568 - Avda. del Partenón, 6,",1,26,371.11
Fuente circular con escultura en El Pardo,Monument,PLAZA CAUDILLO 1,"Calle de Gloria Fuertes, 181","Calle de Gloria Fuertes, 181,",27,0,5200.25
Fuente circular de la Quinta de los Molinos,Monument,C Alcalá 527,"Calle Alcala, 506","Calle Alcalá, 506,",5,18,163.1
Fuente circular del barrio Alameda de Osuna,Monument,C Bergantín ,"Avenida de Cantabria, 6","Avenida de Cantabria, 6,",11,12,292.99
Fuente circular del barrio de San Miguel,Monument,C Costa del Sol 1,"Avenida de San Luis, 23","Avenida de San Luis, 23,",4,18,238.64
Fuente circular del Instituto Ponce de León,Monument,Avda Eduardo Barreiros 6,"Avenida de la Perla, 35","Avenida de la Perla, 35,",16,7,353.06
Fuente circular del parque Amós Acero,Monument, ,"Calle de Carlos Martin Alvarez, 38","Calle de Carlos Martin Alvarez, 38,",13,10,285.04
Fuente circular del parque de Pradolongo,Monument,PARQUE PRADOLONGO ,"Doctor Tolosa Latour, 7","Doctor Tolosa Latour, 7,",3,20,193.82
Fuente circular del parque de San Isidro,Monument,C San Isidro ,Calle de Ervigio,"Calle de Ervigio,",12,11,359.11
Fuente circular del parque Eugenia de Montijo,Monument, ,"382-Parque Eugenia de Montijo, 2","Parque Eugenia de Montijo, 2,",2,22,188.18
Fuente circular del parque Fuente del Berro,Monument, ,Quinta Fuente del Berro,"Calle Sancho Dávila esquina Paseo Marqués de Zafra,",15,9,261.02
Fuente circular del parque María Eva Duarte de Perón,Monument, ,Ortega y Gasset 87,"Calle Ortega y Gasset nº 87,",4,19,216.73
Fuente circular del parque Rodríguez Sahagún,Monument,CALLE OFELIA NIETO 83,"Calle Ofelia Nieto, 75","Calle Ofelia Nieto, 75,",1,23,67.53
Fuente circular en la calle Almendrales,Monument,C Almendrales ,Glorieta de Cádiz,"Calle Antonio López nº 129,",17,6,319.72
Fuente circular en la calle Gasómetro,Monument,Pº Doctor Vallejo Nájera s/n,"Juan Antonio Vallejo Nájera Botas, 25","Paseo de Juan Antonio Vallejo Nájera Botas, 28,",13,10,35.82
Fuente circular en la calle Muñoz Grandes,Monument,Paseo Marcelino Camacho 6,"Av de la plaza de Toros , 3","Av de la plaza de Toros , 3,",2,21,191.98
Fuente circular en la glorieta Marques de Vadillo,Monument,Gta Marqués de Vadillo ,Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,1,11,113.09
Fuente circular I del parque de Pradolongo,Monument, ,"Doctor Tolosa Latour, 7","Doctor Tolosa Latour, 7,",3,20,108.86
Fuente circular II del parque de Pradolongo,Monument, ,"Gran Avenida, 27","Gran Avenida, 27,",16,8,278.97
Fuente circular III del parque de Pradolongo,Monument,PARQUE PRADOLONGO ,"Doctor Tolosa Latour, 7","Doctor Tolosa Latour, 7,",3,20,193.82
Fuente con canal  del parque Enrique Tierno Galván II,Monument, ,"Calle Amaltea , 1","271 - Calle Amaltea , 1,",21,2,218.91
Fuente con canal del parque Enrique Tierno Galván I,Monument, ,"Calle Amaltea , 1","271 - Calle Amaltea , 1,",21,2,219.3
Fuente con cuatro tazas de la Quinta de los Molinos,Monument,C Alcalá 527,"Juan Ignacio Luca de Tena, 13","C Juan Ignacio Luca de Tena, 13,",5,22,189.26
Fuente con escudo de Madrid,Monument,Pº Bolivia ,Puerta de Madrid,"Avenida de Menéndez Pelayo, 9,",20,7,238.45
Fuente con escultura en el intercambiador de Aluche,Monument,AVENIDA POBLADOS 41,"Calle Valmojado, 295","Calle Valmojado, 295,",4,14,62.02
Fuente con escultura en la avenida de Logroño,Monument,Avda Logroño ,"Avenida de Logroño, 315","566 - Avenida de Logroño, 315,",24,0,82.86
Fuente con escultura en la calle San Jenaro,Monument,C San Jenaro ,"San Jenaro, 1","Calle San Jenaro, 1,",3,21,53.08
Fuente con escultura II en el intercambiador de Aluche,Monument,C Maqueda ,"Calle Valmojado, 295","Calle Valmojado, 295,",4,14,39.14
Fuente con farola en la calle General Ricardos,Monument,C General Ricardos ,Jacinto Verdaguer,"Jacinto Verdaguer,",20,4,144.27
Fuente con grupo escultórico en los jardines de El Pardo,Monument, ,"Calle de Gloria Fuertes, 181","Calle de Gloria Fuertes, 181,",27,0,5164.42
Fuente con ría del parque de Moratalaz,Monument, ,Marroquina,"Calle Camino de los Vinateros nº 108,",2,16,172.37
Fuente con surtidor del parque Fuente del Berro,Monument,PARQUE QUINTA FUENTE DEL BERRO ,Quinta Fuente del Berro,"Calle Sancho Dávila esquina Paseo Marqués de Zafra,",15,9,66.96
Fuente con taza de piedra de la Quinta de los Molinos,Monument,CALLE ALCALA 527,"Calle Alcala, 506","Calle Alcalá, 506,",5,18,39.64
Fuente Cupido dormido,Monument, ,"Ramon Gomez de la Serna, 37","Calle Ramon Gomez de la Serna, 37,",6,18,2075.66
Fuente de Apolo,Monument,Pº Prado ,Cibeles,"Plaza Cibeles,",9,14,165.64
Fuente de beber del parque Cuña Verde,Monument,PARQUE CUÑA VERDE ,Ermita Santo,"Paseo de la Ermita del Santo nº 48,",26,1,122.47
Fuente de Cabestreros,Monument,C Mesón de Paredes ,Plaza de Nelson Mandela,"Calle Mesón de Paredes nº 35,",5,14,42.08
Fuente de Cibeles,Monument,Pza Cibeles ,Cibeles,"Plaza Cibeles,",9,14,78.58
Fuente de Credit Lyonnais,Monument,Pº Castellana 35,Castellana 42,"Paseo de la Castellana nº 42,",2,21,95.79
Fuente de Cupido de La Rosaleda,Monument,Pº Duque de Fernán Núñez ,Puerta del Pacífico ,"Avenida de Menéndez Pelayo nº 69,",1,26,344.23
Fuente de entrada a los Jardines Sabatini,Monument,Gta San Vicente ,Plaza de España A,"Calle Princesa nº 5,",13,5,244.7
Fuente de Esteban Mora,Monument,C Esteban Mora 43,Derechos Humanos,"Calle Derechos Humanos nº 12,",2,22,186.6
Fuente de Europa,Monument,C Fuente de Lima ,"Fuente del Tiro, 27","Calle Fuente del Tiro, 27,",8,16,218.22
Fuente de fundición en la calle Duque de Sevilla,Monument,CALLE DUQUE DE SEVILLA 7,María Francisca 1,"Calle María Francisca nº 3,",3,16,252.54
Fuente de Isabel II o de los galápagos,Monument,PLAZA NICARAGUA 1,Plaza de la Independencia,"Plaza de la Independencia nº 6,",6,17,276.65
Fuente de la Alcachofa,Monument,Pza Honduras ,Antonio Maura,"Calle Antonio Maura nº 15,",2,22,463.34
Fuente de la antigua Embajada Británica,Monument,CALLE FERNANDO EL SANTO 16,Alonso Martínez,"Plaza de Alonso Martínez nº 5,",11,13,248.88
